"Año";"NOMBRE_ESTANDAR";"deficit_total";"deficit_base";"share_deficit";"deficit_est";"hogares_deficit";"pob_bog";"share_pob";"poblacion_localidad";"hogares_localidad";"deficit_rate"
2017;"USAQUEN";195000;5650;0,021269066871452;4147,46803993314;1481,23858569041;7313244;0,0618543535824501;452355,980210731;161555,707218118;0,00916859336755321
2017;"USME";195000;24473;0,0921270572646098;17964,7761665989;6415,99148807104;7313244;0,0442300671592973;323465,273272328;115523,311882974;0,0555385002688502
2018;"ANTONIO NARINO";190000;2116;0,00796554787610486;1513,45409645992;540,519320164259;7366187;0,0169826446785905;125097,336457053;44677,6201632331;0,0120982119949413
2018;"BARRIOS UNIDOS";190000;2227;0,00838340034030507;1592,84606465796;568,873594520701;7366187;0,0326155469228465;240252,217740962;85804,363478915;0,00662989120198406
2018;"BOSA";190000;30077;0,113222960051799;21512,3624098417;7682,98657494348;7366187;0,0743726260671057;547842,671291375;195658,096889777;0,0392674093077357
2018;"CANDELARIA";190000;58;0,000218337323636145;41,4840914908675;14,8157469610241;7366187;0,00332264923832982;24475,2556249451;8741,16272319466;0,00169494007035363
2018;"CHAPINERO";190000;723;0,00272168767222298;517,120657722365;184,685949186559;7366187;0,0180760880417112;133151,844743708;47554,2302656101;0,00388369127530845
2018;"CIUDAD BOLIVAR";190000;47419;0,178505819819006;33916,1057656111;12112,8949162897;7366187;0,0841079674738597;619555,016602368;221269,64878656;0,0547426860516869
2018;"ENGATIVA";190000;17618;0,0663218442727861;12601,1504118294;4500,41086136763;7366187;0,117694917678824;866962,772571827;309629,561632795;0,0145348229595238
2018;"FONTIBON";190000;6585;0,0247888151059312;4709,87487012694;1682,09816790248;7366187;0,0440834402487889;324726,864475906;115973,880169966;0,014504112179719
2018;"KENNEDY";190000;34065;0,128235533270091;24364,7513213172;8701,69690047045;7366187;0,139112877389207;1024731,46895697;365975,524627488;0,0237767181543836
2018;"LOS MARTIRES";190000;2756;0,0103747873093313;1971,20958877294;704,003424561766;7366187;0,013894538892639;102349,771761952;36553,4899149828;0,0192595406402825
2018;"PUENTE ARANDA";190000;4501;0,0169437292014877;3219,30854828266;1149,75305295809;7366187;0,0371453349843762;273619,483672557;97721,2441687704;0,0117656407543523
2018;"RAFAEL URIBE URIBE";190000;20697;0,0779125446085739;14803,383475629;5286,92266986751;7366187;0,0553582152047934;407778,965184751;145635,34470884;0,0363024695717743
2018;"SAN CRISTOBAL";190000;25061;0,0943405459938866;17924,7037388384;6401,67990672802;7366187;0,0596323002394608;439262,674804013;156879,526715719;0,040806343827952
2018;"SANTA FE";190000;6201;0,0233432714459954;4435,22157473912;1584,00770526397;7366187;0,0143119189498891;105424,271313726;37651,525469188;0,0420702132390423
2018;"SUBA";190000;25665;0,096614265708994;18356,7104847089;6555,96803025316;7366187;0,13520968095236;995979,794105419;355707,069323364;0,0184308061201148
2018;"TEUSAQUILLO";190000;58;0,000218337323636145;41,4840914908675;14,8157469610241;7366187;0,0201649254721044;148538,611868584;53049,5042387801;0,000279281534740405
2018;"TUNJUELITO";190000;9694;0,0364924485401515;6933,56522262878;2476,27329379599;7366187;0,0269319660075906;198385,897889556;70852,1063891271;0,0349498895656827
2018;"USAQUEN";190000;5650;0,021269066871452;4041,12270557588;1443,25810913424;7366187;0,0618543535824501;455630,735252447;162725,26259016;0,00886929347147061
