"Año","Mes","Nacionalidad","Codigo M49","Femenino","Masculino","Indefinido","Total","Ubicación PCM"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","1",,"1","(-4.197703,-69.941278)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","1",,"2","(4.452882,-75.766298)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","6,480","6,578",,"13,058","(4.697144,-74.140516)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","9",,"10","(4.815061,-75.736532)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","562","648",,"1,210","(6.171601,-75.427454)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","3","5",,"8","(6.185799,-67.483929)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","103","133",,"236","(7.088729,-70.740253)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","3","8",,"11","(7.128456,-73.183637)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","3,295","3,022",,"6,317","(7.818934,-72.453226)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","502","484",,"986","(7.927209,-72.507910)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","1",,"1","(8.066966,-76.735404)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","4",,"4","(0.25129,-76.875963)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","144","156",,"300","(0.814836,-77.662532)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","347","311",,"658","(10.445761,-75.516429)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","34","81",,"115","(10.886611,-74.776708)"
"2012","Septiembre","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","4",,"4","(11.117806,-74.232622)"
